AA0;а;;;а;a;AA;?;[??] — долгий гласный звук. Примерно похож на ударный звук [a] в русском слове банка.;balm, bot, odd
G;г;;;т;t;T;t;[t] — глухой согласный звук. Произносится примерно как русский звук [т]. Но в отличии от русского [т], английский согласный [t] сильнее и произносится с придыханием.;tie, tea
HH;h;;;t;T;TH;?;[?] — глухой межзубной согласный звук. В русском языке подобного звука нет. Отдаленно напоминает русский звук [с]. ;thigh, theta
IH0;и;;;в;v;V;v;[v] — звонкий согласный звук. Похож на русский звук [в].;vie, vee
IH1;И;;;w;w;W;w;[w] — губно-губной согласный звук. Подобного звука в русском языке нет. Очень отдаленно напоминает звук [у].;wise, we, why
IH2;и;;;й;y;Y;j;[j] — согласный звук. Произносится примерно как русский звук [й].;yacht, yield
IY0;i;;;з;z;Z;z;[z] — звонкий согласный звук. Произносится примерно как русский звук [з]. ;zoo. Zee
IY1;I;;;ж;Z;ZH;?;[?] — звонкий согласный звук. Произносится примерно как русский звук [ж], но чуть мягче. ;pleasure, seizure
IY2;i;;;;;;;;
JH;j;;;;;;;;
K;к;;;;;;;;
L;л;;;;;;;;
M;м;;;;;;;;
N;н;;;;;;;;
NG;n;;;;;;;;
OW0;оу;;;;;;;;
OW1;Оу;;;;;;;;
OW2;оу;;;;;;;;
OY0;ой;;;;;;;;
OY1;Ой;;;;;;;;
OY2;ой;;;;;;;;
P;п;;;;;;;;
R;р;;;;;;;;
S;с;;;;;;;;
SH;Ш;;;;;;;;
T;т;;;;;;;;
TH;t;;;;;;;;
UH0;у;;;;;;;;
UH1;У;;;;;;;;
UH2;у;;;;;;;;
UW0;u;;;;;;;;
UW1;U;;;;;;;;
UW2;u;;;;;;;;
V;в;;;;;;;;
W;w;;;;;;;;
Y;й;;;;;;;;
Z;з;;;;;;;;
ZH;ж;;;;;;;;
